"Hotel","fecha","occ","habs_disp","tp","po","pt","te"
"CEINS","2017-03-24",0.968553,159,1272.58,1.23336,0.962385,1232.56
"CEINS","2017-03-25",0.660377,159,1247.73,0.927769,1.00568,823.97
"CEINS","2017-03-26",0.742138,159,1404.38,1.0644,1.02448,1042.24
"CEINS","2017-03-27",1,159,1722.16,1.12439,1.05278,1722.16
"CEINS","2017-03-28",1,159,1759.87,1.01929,1.03838,1759.87
"CEINS","2017-03-29",1,159,1744.83,1.00073,1.02599,1744.83
"CEINS","2017-03-30",1,159,1728.62,1.08274,1.0448,1728.62
"CEINS","2017-03-31",0.616352,159,1347.04,0.946221,1.01017,830.251
"CEINS","2017-04-01",0.471698,159,1300.51,0.874647,0.980059,613.449
"CEINS","2017-04-02",0.647799,159,1298.95,1.00687,0.952392,841.459
"CEINS","2017-04-03",0.974843,159,1677.91,1.13128,1.01494,1635.7
"CEINS","2017-04-04",1,159,1710.13,1.01929,1.01744,1710.13
"CEINS","2017-04-05",1,159,1676.3,1.02232,0.978827,1676.3
"CEINS","2017-04-06",1,159,1668.76,1.13554,1.0106,1668.76
"CEINS","2017-04-07",0.610063,159,1270.59,1.04128,0.990414,775.141
"CEINS","2017-04-08",0.440252,159,1212.03,1.06685,1.02271,533.598
"CEINS","2017-04-09",0.433962,159,1157.62,1.19732,0.931637,502.363
"CEINS","2017-04-10",0.528302,159,1221.18,1.15771,0.913215,645.151
"CEINS","2017-04-11",0.610063,159,1199.62,1.3764,0.9125,731.845
"CEINS","2017-04-12",0.698113,159,1149.34,1.63967,0.913531,802.37
"CEINS","2017-04-13",0.880503,159,1115.34,1.38899,0.988412,982.056
"CEINS","2017-04-14",0.81761,159,1050.08,1.3784,0.941462,858.558
"CEINS","2017-04-15",0.679245,159,1058.34,1.27672,0.983684,718.876
"CEINS","2017-04-16",0.522013,159,1148.38,1.3307,0.949292,599.466
"CEINS","2017-04-17",0.836478,159,1318.47,1.40848,0.909172,1102.87
"CEINS","2017-04-18",0.993711,159,1294.36,1.32174,0.898565,1286.22
"CEINS","2017-04-19",1,159,1332.23,1.22679,0.898266,1332.23
